,0
154,nv giao nhận
155,tap vu
156,công nhân chuyền hộc kéo a
157,nhân viên bảo vệ
158,công nhân đóng kiện may công nghiệp
159,công nhân sản xuất điện tử
160,công nhân chăn nuôi  chăm sóc  vệ sinh chuồng trại gia súc  gia cầm
161,công nhân sản xuất linh kiện
162,ban kiểm soát
163,bí thư đoàn xã
164,công nhân may tay
165,thủ kho
166,côn gnhân
167,công nhân dây máy
168,công nhân qlvh đz  truyền tải điện 500kv đắk nông
169,công nhân khai thác mủ cao su
170,nhân viên chất lượng
171,công nhân - tốp - xưởng 1
172,nhân viên bán hàng thực phậm chức năng
173,gv
174,nhân viên bảo trì nhà máy
175,công nhân in sơn
176,nhân viên hành chính
177,công nhân sản xuất bóng đèn
178,trưởng trạm y tế xã quế lâm
179,công nhân chế biến
180,thợ điesel b4
181,công nhân qc
182,nhân viên nghiên cứu thị trường
183,giám sát
184,thợ in
185,công nhân vật liệu
186,công nhân vận hành máy may cấp 1
187,giáo viên trường th xã lùng cải
188,công nhân kho
189,công nhân khuôn
190,cnsx  xé da
191,công nhân hàng mẫu
192,bảo vệ rừng
193,sơn  in da và pha chế hoá chất để sơn  in da
194,nv vận hành pallet
195,cán bộ kỹ thuật
196,nhân viên  qc
197,công nhân cạo mủ cao su bậc 1/6
198,cc. đcxxd
199,công nhân tổ điện cơ và dịch vụ
200,bốc xếp
201,chất lượng ??
202,nhân viên điểm giới thiệu dịch vụ (xe máy) - nơi làm việc: gia lai
203,công nhân cắt liệu
204,công nhân bộ phận công vụ
205,công nhân  may
206,nhân viên văn phòng
207,công nhân lúp bím
208,chuyên viên bậc 1/8
209,thợ hàn
210,công nhân-vệ sinh last
211,nhân viên hỗ trợ kỹ thuật - v01 -  tp. vũng tàu - bà rịa - vũng tàu
212,công nhân vận hành máy may công nghiệp
213,phó hiệu trưởng
214,nhân viên cskh
215,cnhân dán dây da
216,công nhân ván
217,công nhân mẫu
218,coõng nhaõn trửùc tieỏp maựy may coõng nghieọp
219,công nhân-ép tem đệm lót
220,công nhân bộ phận
221,công nhân cắt phá  cắt gọt
222,nhân viên hành chính kiêm lái xe
223,công nhân pe
224,phụ kho vật tư
225,công nhân duy tu
226,công nhân  phân xưởng chế biến hải sản đông lạnh
227,công nhân khai thác
228,công nhân sửa chữa lại
229,nv đóng gói
230,công nhân đóng kiện
231,công nhân sản xuất bp lô hội
232,kỹ thuật điện
233,công nhân quét rác đường phố
234,nhân viên tổng đài
235,công nhân nhuộm
236,chủ tịch mặt trận
237,chuyên viên phòng tiếp thị truyền thông
238,nhân viên trị liệu
239,cn khai thác mủ cao su - nông trường nghĩa trung
240,kế toán  - trưởng phòng
241,công nhân mài đế
242,chuyên viên qhkhdn (ro)-01
243,nhân viên ép máy
244,nhân viên phòng kinh doanh
245,kỹ sư cơ điện
246,nhân viên thống kê đầy rỗng
247,công nhân phun sơn
248,công nhân  phụ may
249,thợ phụ
250,cán bộ
251,công nhân vận hành máy may công nghiệp chuyền 3
252,nhân viên lái xe điện nội bộ
253,nhân viên vận hành
254,công nhân may hàng phổ thông
255,công nhân định hình
256,công nhân bảo vệ
257,nhân viên giặt là
258,phó chủ quản p.hành chính
259,giáo viên trường tiểu học mường lạn
260,nữ hộ sinh
261,công nhân tổ bơm bê tông
262,công nhân bê tông
263,công nhân ấn cao tầng
264,nhân viên tư vần  công ty tnhh aklc việt nam
265,công nhân đứng máy (b)
266,công nhân sản xuất linh kiện điện tử
267,công nhân bộ phận gia công
268,nhân viên lễ tân
269,nhân viên  bán hàng
270,công nhân cạo mủ
271,công nhân vận hành công nghệ clo lỏng thuộc px clo
272,giáo viên tiểu học
273,nhân viên đổ sợi sợi con
274,lao động pt
275,lái xe xúc lật
276,nhân viên - v01 - tp.hồ chí minh
277,cn vận hành máy may công nghiệp
278,cn đánh số - bp cắt
279,lắp ráp
280,tổ trưởng bếp
281,lái xe container
282,công nhân kiểm tra chất lượng sản phẩm
283,cn mộc máy
284,cn tp. hồ chí minh
285,công nhân sản xuất phụ tùng ô tô
286,công nhân mài
287,nhõn viờn
288,nhân viên kế toán
289,công nhân sản xuất camera điện thoại
290,công nhân cbts
291,cn cạo mủ
292,công nhân - th.1
293,nvsx
294,công nhân đế trung
295,cđ dược
296,giáo viên hợp đồng
297,công nhân thủ công may
298,công nhân gia công 2
299,nhân viên thu nợ hiện trường
300,tổ trưởng tổ tạp vụ
301,công nhân sơn tĩnh điện  bậc 1/7
302,công nhân (sản xuất nền đĩa thủy tinh) .phòng sản xuất
303,cn tạo hình
304,nhân viên hỗ trợ kinh doanh
305,nv kế toán
306,công nhân bọ -khuy -nút
307,nhân viên bán hàng-bạc liêu-thị xã giá rai-kv3
308,công nhân đứng máy dệt sợi
309,công an viên
310,công nhân tp1-109
311,công nhân phụ may
312,công nhân khoan máy địa chất
313,công nhân bốc xếp thủ công
314,đại diện bán hàng - bộ phận kinh doanh
315,công nhân bộ phận qa
316,nhân viên phụ kho
317,công nhân quản lý vận hành lưới điện trung thế - điện lực con cuông
318,nv-tổ chức
319,công chức địa chính - xây dựng
320,phụ việc bột sơn
321,cn cơ khí
322,công nhân khai thác mủ cao su  bậc 1/6
323,cn-th00y
324,công nhân quấn dây
325,chuyên viên văn phòng thống kê  phụ trách nội vị  cải cách hành chính  thi đua khen thưởng
326,công nhân bốc xếp
327,điều dưỡng viên tyt tt tân dân
328,nhân viên thể thao
329,công nhân lắp ráp thành phẩm
330,nhân viên  thu mua
331,công nhân đứng máy ép
332,công nhân xi mạ
333,công nhân pu3
334,trung cấp cơ khí
335,nhân viên quan hệ khách hàng
336,nhân viên kho
337,công nhân chà nhám 3
338,kiểm lâm viên tc
339,công nhân chuẩn bị giầy
340,chủ tịch ubmttquốc
341,cn sx dây dẫn điện
342,giáo viên trường th tân thành 2
343,kỹ sư điện
344,nhân viên kinh doanh- dự án ss
345,công nhân sửa chữa cơ điện trong hầm lò
346,nv kho
347,cn sửa chữa cơ điện mỏ trong hầm lò
348,giáo viên trường thcs tân lập
349,cn hà nội
350,công nhân - xí nghiệp đn thoại sơn
351,qc point 7
352,công nhân túi
353,công nhân xưởng lắp xe
354,nhân viên tài xế
355,công nhân xếp phơi
356,ktv sơ cấp
357,đảng ủy viên  cán bộ văn phòng
358,cn-dán gia cố
359,gíao viên trường tiểu học  vàm láng 2
360,nhân viên buồng  khách sạn xanh thuộc
361,công nhân dán bóng
362,nhân viên tư vấn
363,công nhân ép quai
364,công nhân chuyền dây điện
365,nhân viên kiểm tra chất lượng
366,nhân viên locker (golf)
367,công nhân pha phao nhỏ c2
368,nv chăm sóc khách hàng
369,kỹ thuật viên bậc 1/12 xưởng thủy lợi
370,nnđh
371,nhân viên xn dvcc
372,nhân viên thu ngân
373,công nhân may lót
374,công nhân thủ công
375,công nhân sơn sắt
376,nhân viên sợi nhân tạo
377,hỗ trợ sản xuất
378,cán sự  thanh tra xây dựng
379,nhân viên bán hàng kiêm thu ngân
380,giáo viên tiểu học hạng ii  mã v.07.03.07  bậc 1 (85%)
381,phụ xế
382,cn kiểm tra chất lượng
383,cn vận hành máy may
384,nhân viên - v03 - tỉnh nghệ an
385,kế toán ( lđhđ)
386,trợ lý hành chính bậc 1
387,công nhân kiểm tra;
388,công nhân phụ việc
389,sàng  sấy hoá chất phối liệu cao su
390,công nhân phụ cắt giầy nữ
391,nhân viên khai thác tàu
392,lái xe tải (tổng tải trọng dưới 5 tấn)
393,công nhân bộ phận nhôm hóa
394,giám đốc kbnn huyện cần giuộc
395,tiếp thị
396,trạm phó
397,công nhân cat-cb t14
398,nhân viên  tiếp thị qua điện thoại
399,chuyên viên  phó trưởng ban
400,công nhân tổ chuẩn bị
401,công nhân bộ phận hộp mầu
402,giảng viên
403,công nhân quét hóa chất
404,giáo viên cơ hữu
405,công nhân cải tiến
406,nhân viên vệ sinh  bvđk cửa đông
407,công nhân dán dính
408,nhân viên - v04 - tỉnh an giang
409,công nhân vệ sinh môi trường
410,nhân viên - điện tuy phong
411,công nhân may mũi giầy
412,phó phòng
413,nhân viên phòng khách hàng
414,lđpt
415,quản lý khách hàng
416,nhân viên nhà hàng
417,phó giám đốc
418,nhân viện bán hàng-vùng 2
419,công nhân sản xuất (gia công cơ khí)
420,nhân viên cơ điện
421,cn máy ghép
422,công nhân tổ đóng cont
423,công nhân chạy máy định hình
424,nhân viên - v01 - tỉnh bình dương
425,giáo viên mầm non
426,chăm sóc
427,nhân viên phòng vé
428,trợ lý
429,công nhân tráng men
430,công nhân  máy may công nghiệp
431,công nhân cao su
432,công nhân in sơn 4
433,tiếp viên
434,nhân viên bảo vệ  phòng ngân quỹ- hành chánh
435,cán bộ tư pháp-hộ tịch
436,nv bảo vệ  tp hcm
437,nhân viên-brvt
438,công nhân cạo mủ bậc 1/6
439,kỹ thuật
440,kế toán viên
441,bảo vệ thực vật
442,công nhân ui bậc1/6
443,công nhân ván chà nhám a
444,công nhân phụ sơn da
445,giáo viên - trường thcs thị trấn trà lồng
446,cn khai thác than hầm lò
447,lái xe tải 15 tấn
448,công nhân sửa chữa điều van
449,vệ sinh công nghiệp
450,giáo viên mẫu giáo đak sơ mei
451,công nhân chặt
452,nhân viên nông trường
453,công nhân cà lăn cuối chuyền
454,thống kê
455,coõng nhaõn boọ phaọn nos g
456,nhân viên - v04 - đắc lắk
457,nhân viên housekeeping
458,nhân viên thống kê
459,công nhân phòng kiểm tra chất lượng.
460,công nhân cạo mủ cao su-xuân định  xuân lộc  đồng nai
461,cán sự
462,cb kỹ thuật tổ kt kt
463,nhân viên bán hàng - bình thuận - kv2
464,nhân viên marketing
465,cn - l3. ccbi
466,bảo vệ tuần tra canh gác
467,tksl trong k.trường mỏ
468,giao dịch viên  bưu điện huyện yên mỹ
469,nhân viên kcs
470,nhân viên - v01 - tỉnh đồng nai
471,nhân viên hợp đồng
472,công nhân nung đồng
473,nhân viên xếp ống sợi con
474,công nhân sản xuất nữ trang
475,công nhân khai thác mỏ hầm lò
476,hơp đồng thu
477,công nhân ép cao tầng
478,kỹ thuật xây dựng công trình
479,chuyên viên bán hàng
480,công nhân sản xuất máy in  máy fax  linh kiện  thiết bị điện tử  các loại khuôn
481,công nhân kỹ thuật
482,công nhân hoàn thiện
483,nhân viên tư vấn dinh dưỡng (vùng:i  -ngạch: c.23 - bậc: ii)
484,uỷ nhiệm thu thuế
485,công nhân ép nhiệt
486,công nhân máy dập
487,đứng bếp
488,nhân viên giám sát
489,công nhân bộ phận hoàn thành - công ty epic designers - kcn xuân lộc - bh - đn
490,nhân viên kho kiêm hỗ trợ kỹ thuật
491,chủ tịch ủy ban mặt trận tổ quốc (mn:01.004)
492,bảo vệ trung tâm bdct tp
493,chi?u x? th
494,giao hàng
495,nữ hộ sinh trung cấp  trạm y tế khánh hải
496,công nhân mài dao
497,công nhân chế tạo
498,công nhân- gấp biên
499,thieu chuc danh tu du lieu 3s
500,công nhân vận hành thiết bị
501,chủ tịch hội chữ thập đỏ
502,công nhân chạy máy cắt
503,công nhân t12may3
504,công nhân vệ sinh khuôn ip
505,nhân viên - v04 - tỉnh trà vinh
506,thợ sơn
507,công nhân cắt
508,nhân viên tiếp thị bia  phòng kinh doanh bia
509,công nhân phòng máy
510,nhân viên phục vụ sân gôn
511,nv nghiệp vụ cho thuê
512,công nhân may  độc hại
513,cán bộ địa chính - xây dựng
514,nhân viên - v02 - tỉnh đồng nai
515,cn in-maya
516,nử hộ sinh
517,phó chỉ huy trưởng quân sự
518,chỉ huy trưởng quân sự
519,giáo viên tiểu học hợp đồng
520,nhân viên thống kê thép móng
521,công nhân bốc xếp chai
522,công nhân in lụa
523,công nhân chế biến thủy sản - cn tổ tiếp nhận
524,chuyên  viên
525,công nhân kỹ thuật. 1.14  bậc 1/15
526,nhân viên - v01 - tp. hải phòng
527,tiếp đón khách hàng
528,lái máy xúc 450 dung tích gầu 1.9 khối
529,thành hình các sản phẩm cao su
530,nhân viên quản lý hệ thống
531,công nhân bp lắp ráp
532,công nhân  cán thép
533,nhân viên quầy bar
534,nhân viên clb games  câu lạc bộ games crown
535,kcs
536,cn chăm sóc
537,nhân viên vùng 3
538,công nhân cắt jumbo
539,cn lắp ráp
540,công nhân trại heo
541,cn vận hành mmcn
542,công nhân thành hình
543,kiểm diịch viên động thực vật bậc 1
544,hành chánh  tiếp tân
545,c.nhân/lr mdf
546,công nhân đứng máy thêu
547,nhân viên - v03 - tỉnh hà tĩnh
548,nhân viên bán hàng mk1
549,nhân viên y tế
550,cụng nhõn
551,công nhân nhà ăn
552,chuyên viên giám sát kỹ thuật (xây dựng)
553,bí thư đoàn kiêm ctv phó bch qs xã
554,phết keo đế  mũ giày
555,phụ xe
556,trạm trưởng
557,công nhân  gò giày  dép
558,tín dụng
559,công nhân kp
560,nvlx
561,công nhân chế biến thủy hải sản đông lạnh
562,cn may công nghiệp
563,kế toán;
564,công nhân lắp ráp cabin
565,nhân viên nhập liệu
566,công nhân bọc chính - ghế xoay
567,nhân viên - phòng kỹ thuật xây dựng
568,nhân viên phòng quản lý chất lượng công đoạn
569,công nhân tiếp nhận
570,cn ép cao tần  ép nóng  kéo lụa
571,công nhân mài nhẵn mặt da lạng da
572,nhân viên phục vụ gôn
573,công nhân khai thác than hầm lò
574,công nhân tổ lắp ráp  sản xuất
575,nhân viên buồng phòng
576,công nhân bao bì
577,công nhân vận hành
578,công nhân kiểm hàng
579,công nhân là ( tp )
580,lưu hóa các sản phẩm cao su
581,trung cấp nghề vhtbxm; cn xưởng lò nung
582,công nhân  bảo trì điện
583,cn may công nghiệp  cty tnhh may hiếu tiên
584,tổ trưởng tổ 9
585,công nhân nhựa chế tạo
586,nhân viên nghiệp vụg
587,công nhân mạ
588,kỹ thuật viên gj
589,147
590,công nhân đan dây
591,chủ tịch hội liên hiệp phụ nữ
592,công nhân điện lực huyện krông păk
593,công nhân xs gạch
594,công nhân (bộ phận cắt)
595,nhân viên giao nhận sản phẩm chuyển phát nhanh
596,cn phaphao
597,nhân viên - v02 - tỉnh cần thơ
598,nhân viên học vụ
599,công nhân lắp ráp mạch điện tử
600,cửa hàng trưởng
601,nhân viên tổ bảo trì
602,công nhân hoàn chỉnh giầy
603,kỹ sư công nghệ bậc 1/10 làm việc tại nhà máy xử lý khí dinh cố - công ty chế biến khí vũng tàu - 101 lê lợi - phường thắng nhì - tp.vũng tàu
604,công chức địa chính xây dựng
605,nhân viên giao nhận hàng hóa bậc 1/5
606,điều hành kinh doanh
607,giáo viên trung học cơ sở hạng ii bậc 1/9 hưởng 85%
608,công nhân là
609,công nhân - dán đế
610,nhân viên phục vụ bàn khách sạn hải âu
611,hợp đồng - ngạch giáo viên mầm non hạng iii
612,nhân viên - v02 - tỉnh cà mau
613,cn cuốn dây tự động
614,nhân viên cảnh quan môi trường
615,gíao viên trường tiểu học tân đông 1
616,công nhân móc sợi
617,công nhân cáp máy
618,nhân viên điểm giới thiệu dịch vụ (điện máy) - nơi làm việc: hà nam
619,bí thư đoàn thanh niên
620,nhân viên lái xe taxi
621,coõng nhaõn boọ phaọn nos e
622,công nhân trại lợn
623,nv
624,cán bộ tài chính kế toán
625,cán bộ thuỷ sản
626,công nhân  cty cpcb gỗ đức thành
627,công nhân vận hành máy may (may công nghiệp)
628,nhân viên tư vấn (sales)
629,công nhân  hàn
630,phết keo đế hoặc mũ giày
631,công nhân lắp ráp  sản xuất
632,đội phó sản xuất
633,công nhân phụ may công nghiệp
634,nhân viên bộ phận bảo trì và cơ khí
635,nhân viên nhà hàng trung  khách sạn crowne plaza
636,nhân viên lập trình
637,nhân viên phòng chế tạo động cơ
638,công nhân bộ phận hoàn thành
639,nhân viên phục vụ khách hàng
640,công nhân quét chất xử lý
641,công nhân-in hóa chất
642,cán bộ hợp đồng
643,công nhân pha cắt
644,văn thư
645,công nhân tạo hạt
646,nhân viên báo cáo
647,công nhân may giày
648,giáo viên tâm lý trị liệu
649,nhân viên thu phí mtc
650,công nhân chuyền 2   đường d1  kcn suối tre  xã bảo vinh   tx. long khánh  tỉnh đồng nai.
651,cn bốc xếp
652,công nhân kỹ thuật muối chế biến
653,52257/nv bán hàng/cocacola/vùng 2/thanh hóa
654,công nhân sản xuất bánh kẹo
655,công nhân sản xuất 2
656,nhân viên sửa chữa bảo trì ngoại vi và thiết bị
657,công nhân chế biến thủy sản đông lạnh  bậc 2/6
658,cn vận hành máy may-chuyền 10
659,công nhân bộ phận kỹ thuật
660,công nhân sửa cá
661,bôi keo
662,nhân viên - v03 - tỉnh đồng tháp
663,công nhân phun hoa sơn treo doan sau
664,công nhân kiểm hàng f2
665,công nhân sản xuất các loại hạt ăn được
666,công nhân bộ phận lắp ráp 7
667,công nhân may: thợ may yếu
668,nhân viên tư vấn bán hàng
669,nhân viên bán hàng trực tiếp
670,nv dịch vụ
671,đổ sợi cho máy thô
672,nhân viên chà nhám
673,công nhân thành hình a1
674,nhân viên điện
675,công nhân sx điện tử
676,công nhân  phòng vật tư
677,bí thư đoàn thanh niên cộng sản hồ chí minh xã
678,công nhân may cn l2f2
679,quyền trưởng công an xã hóa thanh
680,chuyền 06
681,trị liệu cs
682,công nhân là sản phẩm
683,cb - công nhân viên
684,khuyến nông
685,giáo viên - tổ phó
686,xã đội phó
687,công nhân pha cắt lầu b
688,công nhân sản xuất cao su
689,trạm nghiền
690,giao nhận
691,nhân viên điểm giới thiệu dịch vụ (điện máy) - nơi làm việc: thừa thiên huế
692,cb đài truyền thanh
693,nhân viên bán hàng - quảng nam - kv2
694,công nhân tổ ghép thanh-xưởng ván gỗ
695,nv hỗ trợ vận hành khai thác
696,nhân viên xe điện
697,phó trưởng ban dân vận
698,công nhân kiểm tra linh kiện theo đúng tiêu chuẩn công việc và tiêu chuẩn kiểm tra
699,công nhân-23628
700,trưởng công an
701,phòng hcns
702,nhân viên điểm giới thiệu dịch vụ (điện máy)
703,công nhân lao động phổ thông
704,công nhân kiểm tra chất lượng may công nghiệp
705,hướng dẫn viên
706,nhân viên tín dụng
707,đại diện tiêu thụ ii
708,công nhân bán lẻ xăng dầu
709,thợ máy
710,công nhân khuôn mẫu
711,nhân viên kho điện máy
712,giáo viên thpt bậc 1
713,công nhân cắt 3
714,lao động phụ
715,công nhân đứng máy sản xuất sợi 3 ca
716,công nhân nobashi
717,công nhân thao tác máy chặt
718,công nhân gò máy
719,công nhân đội thoát nước
720,công nhân pha keo
721,là  gấp  đóng gói (may công nghiệp)
722,phóng viên hợp đồng dài hạn
723,công nhân phòng sản xuất
724,công nhân so  sửa bán thành phẩm máy may công nghiệp - bộ phận may
725,cơ khí
726,công nhân lắp ráp điện gia dụng;
727,ktv hóa nghiệm
728,coõng nhaõn vaọn haứnh maựy goứ giaứy
729,giám sát viên buồng phòng
730,công nhân bp đóng gói
731,công nhân trực tiếp sản xuất sản phẩm ép nhựa
732,kỹ sư bậc 3/9  phó giám đốc
733,công nhân đánh số
734,công nhân bộ phận sanitary ware development
735,nhân viên sau bán hàng kiêm tư vấn - v04 -  chư prông - gia lai
736,phó bí thư đảng uỷ
737,chuyên viên tư vấn
738,công nhân bảo trì
739,nhan vien it
740,nhân viên tiếp đón
741,công nhân vận hành máy in hoa trên trục
742,tạp vụ
743,kế toán viên cao đẳng
744,giám sát bộ phận sản xuất
745,công nhân vh lò hơi
746,công nhân gia công ván a
747,phụ xe cuốc
748,nhân viên - v03 - tỉnh kiên giang
749,điều dưỡng cao đẳng
750,công nhân vận hành máy nhuộm
751,cn-tổ đóng gói
752,công nhân sản xuất roong
753,kinh doanh
754,nv. kỹ thuật atlđ-vslđ
755,công nhân phục vụ phân xưởng chế biến
756,cn-xử lý tp
757,công nhân bộ phận sơn
758,thợ lắp ráp
759,nhân viên bảo vệ - kcn hoà cầm  cẩm lệ  đà nẵng
760,công nhân quản lý thuỷ nông. bậc 6/6. xí nghiệp khai thác công trình thuỷ lợi lạc thuỷ
761,nhân viên chăm sóc khách hàng
762,công nhân sản xuất gạch (làm 3 ca)
763,công nhân xây dựng đường giao thông
764,nhân viên - v01 - tp. hồ chí minh
765,nhân viên tiếp thị
766,công nhân sản xuất nền đĩa thủy tinh
767,công nhân -may
768,nhân viên phòng tổng hợp
769,công nhân chạy lò
770,hiệu trưởng
771,nhân viên an ninh kiểm soát
772,phó phòng hành chính kế toán
773,công nhân lái đế dưới 35 tấn
774,công nhân scđb
775,0
776,nhân viên - v02 - tỉnh quảng ninh
777,công nhân may zz
778,công nhân sản xuất nến
779,quản đốc may
780,chuyền may
781,nhân viên sau bán hàng kiêm tư vấn - v03 - tx. vĩnh châu - sóc trăng
782,vm+ nhân viên bán hàng - vùng 2 - đà nẵng
783,công nhân gấp áo công nghiệp
784,công nhân sx linh kiện điện tử
785,công nhân nòng thép ứng lực
786,giáo viên trường trung học cơ sở phan bội châu
787,điều hành bưu cục
788,thuyền trưởng
789,công nhân chăn nuôi
790,công nhân thành phẩm - px2
791,dược sỹ bán hàng
792,công nhân sản xuất túi khí vô lăng ô tô
793,công nhân kho vật tư
794,phó chủ tịch
795,trưởng phòng
796,nhân viên y sỹ
797,mài da
798,xử lý
799,kế toán xí nghiệp chế biến lương thực 3/2 sóc trăng thuộc
800,công nhân chuẩn bị
801,công nhân đúc
802,công nhân  kiểm tra chất lượng (may cn)
803,gv-thtp-1a
804,công nhân dán
805,công nhân vận hành máy xúc >4m3
806,công nhân sơn tĩnh điện
807,p.quản đốc
808,giáo viên hợp đồng.trường thcs hợp thịnh
809,công nhân điện
810,giám sát viên
811,công nhân quản lý chất lượng nguyên vật liệu
812,nhân viên thu hồi nợ tại nhà
813,công nhân ủi may công nghiệp
814,nhân viên - v01 - tỉnh hải phòng
815,nhân viên quản lý lớp học
816,cn sản xuất
817,công nhân đánh bóng dao thìa dĩa inox
818,nghiên cứu viên  85% bậc 1/9
819,công nhân -trồng cây nnghiệp.nông trường cà phê -cao su việt-lào
820,công nhân cơ khí - bình lộc  long khánh  đồng nai
821,thợ phụ kiện
822,đóng gói - kíp c1
823,đóng gói
824,nhân viên tư vấn - v01 - tp. hà nội
825,công nhân in
826,nv. cấp dưỡng
827,quản lý xưởng may
828,me technician trainee
829,công nhân đứng máy nhựa - xưởng nhựa
830,lđpt x6cnv - chà nhám kiểm
831,công nhân máy in
832,thủ công
833,nv chứng từ
834,công nhân hoàn chỉnh
835,công nhân đứng máy cắt
836,cán sự bậc 5/12  phòng kế toán - tài vụ
837,phụ việc chuẩn bị
838,công nhân hoàn thành
839,vận hành máy và thiết bị  hàn  sửa bản mạch
840,điều hành tiếp thị thương mại
841,nv lập kế hoạch
842,thủ công ( theo sự phân công của công ty)
843,nhân viên kỹ thuật điện
844,thu ngân
845,quản đốc
846,công nhân dệt tất
847,pha chế
848,nhân viên sản xuất phòng gia công
849,nhân viên - v04 - tỉnh kiên giang
850,1020096
851,công nhân lắp ráp loa
852,nhân viên hồ bơi
853,công nhân đứng máy
854,trung cấp tin
855,nhân viên thẩm mỹ
856,công nhân máy tổ hợp
857,hộ lý khoa nội tim mạch
858,y tá chính
859,công nhân sản xuất linh kiện camera
860,công nhân túi giấy
861,nhân viên kinh doanh  bưu điện trung tâm thành phố vinh
862,công nhân lái cẩu dưới 3 5 tấn
863,25838 công nhân
864,công nhân vận hành máy dệt kim tròn
865,công nhân sửa chữa thiết bị cơ điện trong hầm lò
866,giao dịch viên chi quầy
867,công nhân vận hành máy sản xuất van
868,nhân viên quản lý
869,công nhân lập trình
870,công nhân sản xuất lắp ráp máy giặt
871,công nhân sản xuất camera
872,công nhân chăm sóc cà phê
